Property_Inventor_InventorCode,Inventor Code
Operator_Equal, = {0}
Operator_Greater, > {0}
Operator_GreaterOrEqual, >= {0}
Operator_Less, < {0}
Operator_LessOrEqual, <= {0}
Operator_Multiple, = {0}
Operator_MultipleString, = {0}
Operator_StartsWith,Starts with {0}
PlanCanvas_mnuAssignLocation,Assign Location
PlanCanvas_mnuAssignPicture,Assign Picture
PlanCanvas_mnuAssignText,Assign Text
Process_EmptyMainDB,New MainDB
Process_EmptyUserSetting,New UserSetting
Process_RootMainDB,Root MainDB
Process_RootUserSetting,Root UserSetting
Property_Branch_Code,Code
Property_Branch_CodeERP,Code ERP
Property_Branch_CodeLocal,Code Local
Property_Branch_ContactPerson,Contact Person
Property_Branch_CustomerCode,Customer Code
Property_Branch_Name,Name
Property_Branch_Phone,Phone
Property_Customer_Address,Address
Property_Customer_Code,Code
Property_Customer_ContactPerson,Contact Person
Property_Customer_Description,Description
Property_Customer_Name,Name
Property_Customer_Phone,Phone
Property_Family_Code,Code
Property_Family_Name,Name
Property_Inventor_BranchCode,Branch Code
Property_Inventor_Code,Code
Property_Inventor_CustomerCode,Customer Code
Property_Inventor_Description,Description
Property_Inventor_InventorDate,Inventor Date
Property_InventProduct_Barcode,Original Code From PDA
Property_InventProduct_CodeFromPda,Input Type
Property_InventProduct_ERPIturCode,ERPIturCode
Property_InventProduct_FamilyCode,Family Code
Property_InventProduct_Itur,Itur
Property_InventProduct_IturCode,IturCode
Property_InventProduct_Makat,Makat
Property_InventProduct_PriceBuy,Price Buy
Property_InventProduct_PriceSell,Price Sell
Property_InventProduct_ProductName,Product Name
Property_InventProduct_SectionCode,Section Code
Property_InventProduct_SupplierCode,Supplier Code
Property_Itur_Code,Code
Property_Itur_ERPCode,ERP Code
Property_Itur_LocationCode,Location Code
Property_Itur_Number,Number
Property_Itur_NumberPrefix,Prefix
Property_Itur_NumberSuffix,Suffix
Property_Itur_StatusGroupBit,Status Group Bit
Property_Location_Code,Code
Property_Location_Name,Name
Property_PriceType_PriceBuy,Price Buy
Property_PriceType_PriceExtra,Price Extra
Property_PriceType_PriceSale,Price Sale
Property_Product_Barcode,Barcode
Property_Product_Makat,Makat
Property_Product_PriceBuy,Price Buy
Property_Product_PriceSale,Price Sale
Property_Product_ProductName,Product Name
Property_Product_Section,Section
Property_Product_Supplier,Supplier
Property_Section_Code,Code
Property_Section_Name,Name
Property_Supplier_Code,Code
Property_Supplier_Name,Name
Report_Menu_Caption_AuditConfig_AuditConfigDetaile,AuditConfigDetaile
Report_Menu_Caption_Branch_BranchDetaile,BranchDetaile
Report_Menu_Caption_Catalog_Catalog,Catalog
Report_Menu_Caption_Customer_CustomerDetaile,CustomerDetaile
Report_Menu_Caption_Device_DV1_01,Device Statistic
Report_Menu_Caption_Device_DV1_02,Device Statistic - Quick Format
Report_Menu_Caption_Device_DV1_03,Device Statistic on Bar Chart
Report_Menu_Caption_DH3_2,Document Report Sum Quentity
Report_Menu_Caption_Doc_DH1_02,Document Header Statistic
Report_Menu_Caption_FM1_01,Family Detailed
Report_Menu_Caption_Inventor_InventorDetaile,InventorDetaile
Report_Menu_Caption_InventProduct_DetailedInventProduct,Detailed - InventProduct
Report_Menu_Caption_IP1_02,InventProducts Compare
Report_Menu_Caption_IP1_03,Report Compare Statistics
Report_Menu_Caption_IP1_04,Report Compare- Property
Report_Menu_Caption_IP1_05,InventProduct Sum by Itur
Report_Menu_Caption_IS1_07,Summary Report per Supplier
Report_Menu_Caption_IS1_12f,Summary by Family
Report_Menu_Caption_IS1_60,Report Sum Quentity
Report_Menu_Caption_IS1_70,Document Family Report
Report_Menu_Caption_IS1_77,Itur Family Sum Quentity
Report_Menu_Caption_IS1_80,Report Sum Quentity by Location
Report_Menu_Caption_IS1_82,Report  by Location and Itur
Report_Menu_Caption_IS1_82p,Report Sum Quentity by Barcode
Report_Menu_Caption_IS1_85,Not Exist in all others Location
Report_Menu_Caption_IT2_02,Document Report Sum Quentity
Report_Menu_Caption_IT2_03,Document Family Report
Report_Menu_Caption_IT2_04,Lady Comfort Family Report
Report_Menu_Caption_IT2_05,Made4Net Report
Report_Menu_Caption_IT2_06,Priority Keds ShowRoom Per Itur Report
Report_Menu_Caption_IT2_07,Report by Itur with QuanityPartial
Report_Menu_Caption_Itur_DetailedItur,Detailed - Itur
Report_Menu_Caption_Itur_IT1_02,Plaine Itur List
Report_Menu_Caption_Itur_IT1_03,Itur Barcodes
Report_Menu_Caption_Iturs_CorporativeReport,CorporativeReport - Iturs
Report_Menu_Caption_Iturs_DetailedBySectionReportBranch,Detailed By Section Report Branch - Iturs
Report_Menu_Caption_Iturs_DetailedReportBranch,Detailed Report Branch - Iturs
Report_Menu_Caption_Iturs_DocumentReport,Document Report -Iturs
Report_Menu_Caption_Iturs_IS1_14,Summary Abs Report BranchWith Sections - Iturs
Report_Menu_Caption_Iturs_IS1_22,Total Inventory Summary
Report_Menu_Caption_Iturs_IS1_22p,Total Inventory Summary
Report_Menu_Caption_Iturs_IS1_23p,Total Inventory Summary
Report_Menu_Caption_Iturs_IS1_24,Summary Report Branch With Sections Ext
Report_Menu_Caption_Iturs_IS1_25p,Warehouse Inventory Summary
Report_Menu_Caption_Iturs_IS1_27p,Total Inventory Summary
Report_Menu_Caption_Iturs_IS1_29p,Total Inventory Summary QuantityPartial
Report_Menu_Caption_Iturs_IS1_32p,JAFORA Report
Report_Menu_Caption_Iturs_IS1_53,Inventory Detailed Report
Report_Menu_Caption_Iturs_IS1_53pt,Inventory Detailed Report with Date Time
Report_Menu_Caption_Iturs_IS1_54,Inventory Detailed by Itur Report
Report_Menu_Caption_Iturs_IS1_54sn,Report Sum by Itur Makat SN
Report_Menu_Caption_Iturs_IS1_56,Itur Expected Report
Report_Menu_Caption_Iturs_IS1_56nc,Items Not Exist In Catalog
Report_Menu_Caption_Iturs_IS1_57,Inventory Detailed by Itur Report
Report_Menu_Caption_Iturs_IS1_58,Inventory Makat- Itur Sum Report
Report_Menu_Caption_Iturs_IS1_59,Summary Report - Boxes in pallet
Report_Menu_Caption_Iturs_IS1_69,Summary Report - Pallet in Tag (Truck)
Report_Menu_Caption_Iturs_IS1_74p,Documents Report - Family Sum Quantity
Report_Menu_Caption_Iturs_IS1_75p,Lady Comfort Itur Family Report
Report_Menu_Caption_Iturs_IS1_86,Report Count ByIturMakat More6
Report_Menu_Caption_Iturs_IS1_90,Summary report - total asset counting per day
Report_Menu_Caption_Iturs_IS1_92,Summary report - total asset counting per itur
Report_Menu_Caption_Iturs_IS1_92L,Summary report - total asset counting per Location
Report_Menu_Caption_Iturs_IS1_93,Report Without SN Supplier
Report_Menu_Caption_Iturs_IS1_94,Report with ModifyDate
Report_Menu_Caption_Iturs_IS1_95,Compare Quantity By Itur-Makat-Docs
Report_Menu_Caption_Iturs_SummaryReportBranch,Summary Report Branch - Iturs
Report_Menu_Caption_Iturs_SummaryReportBranchSections,Summary Report BranchWith Sections - Iturs
Report_Menu_Caption_Iturs_SummaryReportFamilyBranch,Summary Report Family - Iturs
Report_Menu_Caption_Iturs_SummaryReportIturBranch,Summary Report Iturs - Iturs
Report_Menu_Caption_Iturs_SummaryReportLocationBranch,Summary Report Locations - Iturs
Report_Menu_Caption_ItursItur_DocumentReport,Document Report -Itur
Report_Menu_Caption_ItursIturDoc_DocumentReport,Document Report -Doc
Report_Menu_Caption_Rep_IS1_62,Detailed Report - Iturs
Report_Menu_Caption_Rep_IS1_62b,Detailed Report blank - Itur
Report_Menu_Caption_Rep_IS1_62n,Detailed Report by Barcode-Itur
Report_Menu_Caption_Rep_IS1_63,Detailed Report by barcode
Report_Menu_Caption_Rep_IS1_64,Detailed Report - Iturs
Report_Menu_Caption_Rep_IS1_65,Sfira
Report_Menu_Caption_Rep_IS1_83,Inventory Report by Location
Report_Menu_Location_L1_01,Location Detailed
Report_Menu_Location_L1_02,TagLocation Detailed
Report_Menu_Location_L1_03,Tag Location Count
Report_Menu_Location_L1_04,Import Locations with Tag
Report_Menu_Section_SK1_01,Section Detailed
Report_Menu_Supplier_SP1_01,Supplier Detailed
Report_Menu_Supplier_SP1_02,Supplier-Itur Detailed
Report_Menu_Supplier_SP1_03,Itur-Supplier Detailed
Selected_Adapter_Not_Equals_CustomerAdapter,Selected Adapter not equals Adapter for Customer
SortAsc,{0} (ASC)
SortDesc,{0} (DESC)
SortFileGrid_DateAndTime,Date and Time
SortFileGrid_FileName,File
Status_ConvertDataErrorMessage_CodeIsEmpty,Code Is Empty in Data Row [{0}] 
Status_ConvertDataErrorMessage_FKCodeIsEmpty,FK Code Is Empty in Data Row [{0}] 
Status_ConvertDataErrorMessage_InvalidValue,Invalid Value in Data Row [{0}]
Status_ConvertDataErrorMessage_SameCodeExist,Object with the Same Code [{0}] Exist in DB
Status_DocumentStatusTitle_None,None
Status_DocumentStatusTitle_NoOneDoc,No One Document
Status_DocumentStatusTitle_OneDocIsApprove,One Document Is Approve
Status_DocumentStatusTitle_OneDocIsNotApprove,One Document Is Not Approve
Status_DocumentStatusTitle_SomeDocIsApprove,Some Documents And This Is Approve
Status_DocumentStatusTitle_SomeDocsIsNotApprove,Some Documents And This Is Not Approve
Status_IturStatusGroupTitle_AllDocsIsApprove,All Docs Are Approve
Status_IturStatusGroupTitle_DisableAndNoOneDoc,Disable And No One Doc
Status_IturStatusGroupTitle_DisableWithDocs,Disable With Docs
Status_IturStatusGroupTitle_Empty,Empty
Status_IturStatusGroupTitle_Error,Error
Status_IturStatusGroupTitle_None,All
Status_IturStatusGroupTitle_NotApprove,Not Approve
Status_IturStatusGroupTitle_OneDocIsApprove,One Doc Is Approve
Status_IturStatusTitle_AllDocIsApprove,Some of Documents Is Approve
Status_IturStatusTitle_AnyDocIsNotApprove,Some of Documents Is Not Approve
Status_IturStatusTitle_DisableAndAllDocIsApprove,Disable And Some of Documents Is Approve
Status_IturStatusTitle_DisableAndAnyDocIsNotApprove,Disable And Some of Documents Is Not Approve
Status_IturStatusTitle_DisableAndNoOneDoc,Disable And No One Document
Status_IturStatusTitle_DisableAndOneDocIsApprove,Disable And One Document Is Approve
Status_IturStatusTitle_DisableAndOneDocIsNotApprove,Disable And One Document Is Not Approve
Status_IturStatusTitle_DisableAndSomeDocIsApprove,Disable And Some of Documents Is Approve
Status_IturStatusTitle_DisableAndSomeDocIsNotApprove,Disable And Some of Documents Is Not Approve
Status_IturStatusTitle_None,None
Status_IturStatusTitle_NoOneDoc,No One Document
Status_IturStatusTitle_OneDocIsApprove,One Document Is Approve
Status_IturStatusTitle_OneDocIsNotApprove,One Document Is Not Approve
Status_IturStatusTitle_SomeDocIsApprove,Some of Documents Is Approve
Status_IturStatusTitle_SomeDocIsNotApprove,Some of Documents Is Not Approve
Status_IturStatusTitle_WarningConvert,Error
String,
StringReport_Menu_Caption_Iturs_IS1_69,Report_Menu_Caption_Iturs_IS1_69
Validation_DirectoryNotExist,Directory doesn't exist
Validation_File_Not_Exist,File doesn't exist
Validation_FileNotExist,File doesn't exist
Validation_Files_Cant_Equal,Files can't be equal
Validation_Not_Valid_Directory,Not valid directory
Validation_Not_Valid_File,Not valid file
Validation_Not_Valid_Path,Path is not valid
View_AdapterLink_btnDeleteLink,Delete link
View_AdapterLink_btnRestoreLinks,Restore  Links of Adapter
View_AdapterLink_columnAdapterCode,Adapter Code
View_AdapterLink_columnCode,Code
View_AdapterLink_columnDescription,Description
View_AdapterLink_columnDomainType,Domain type
View_AdapterLink_columnName,Name
View_AdapterLink_tbAdapterMissed,Adapter doesn't exist in file system
View_AdaptersMask_btnSetAsDefault,Set as Default
View_AdaptersMask_grpGetMasksFrom,Get masks from:
View_AdaptersMask_radioBranch,Branch
View_AdaptersMask_radioCustomer,Customer
View_AdaptersMask_radioInventor,Inventor
View_AdaptersMask_tbBarcodeMask,BarcodeMask
View_AdaptersMask_tbBarcodeMask1,BarcodeMask1
View_AdaptersMask_tbMakatMask,MakatMask
View_AdaptersMask_tbMakatMask1,MakatMask1
View_BasePdaViewModel_tbQuantityPda,Pda started/checked: {0}/{1}
View_BranchAdd_chkAddOtherBranch,Add other Branch on save
View_BranchAdd_chkClearFields,Clear Fields on save
View_BranchAdd_chkInheritData,Inherit data from customer
View_BranchAdd_tbCreateNewBranch,Create new Branch
View_BranchAdd_tbCurrentCustomer,Current Customer:
View_BranchAdd_tiDefaultImportAdapters,Default import adapters
View_BranchAdd_tiGeneral,General
View_BranchChoose_bntCreateNewBranch,Create new Branch
View_BranchChoose_btnNext,Next > select inventor
View_BranchChoose_btnOpenDashboard,Open branch dashboard
View_BranchChoose_btnPrev,Select customer < Previous
View_BranchChoose_columnAddress,Address
View_BranchChoose_columnCodeErp,CodeErp
View_BranchChoose_columnCodeLocal,CodeLocal
View_BranchChoose_columnContactPerson,ContactPerson
View_BranchChoose_columnCustomerCode,Customer code
View_BranchChoose_columnCustomerName,Customer Name
View_BranchChoose_columnDescription,Description
View_BranchChoose_columnFax,Fax
View_BranchChoose_columnMail,Mail
View_BranchChoose_columnManager,Manager
View_BranchChoose_columnName,Name
View_BranchChoose_columnPhone,Phone
View_BranchChoose_columnSource,Source
View_BranchChoose_columnTitle,Title
View_BranchChoose_tbBranch,Branch
View_BranchChoose_tbBy,by
View_BranchEdit_tbCurrentCustomer,Current Customer:
View_BranchEdit_tbTitle,Branch Edit
View_BranchEdit_tiDefaultImportAdapters,Default import adapters
View_BranchEdit_tiGeneral,General
View_BranchesDashboardPart_columnCode,Code
View_BranchesDashboardPart_columnCodeLocal,Code Local
View_BranchesDashboardPart_columnLastUpdate,Last Update
View_BranchesDashboardPart_columnName,Name
View_BranchesDashboardPart_columnSelect,Select
View_BranchesDashboardPart_columnToPack,To Pack
View_BranchForm_btnClear,Clear
View_BranchForm_btnCopyInfoFromCustomer,Copy info from Customer
View_BranchForm_btnGenerateNew,Generate new
View_BranchForm_tbAddress,Address
View_BranchForm_tbBranchName,Branch Name
View_BranchForm_tbCode,Code
View_BranchForm_tbCodeErp,Code ERP
View_BranchForm_tbCodeLocal,Code Local
View_BranchForm_tbContact,Contact
View_BranchForm_tbContactPerson,Contact person
View_BranchForm_tbContinuationAddress,Continuation Address
View_BranchForm_tbDescription,Description
View_BranchForm_tbFAX,FAX
View_BranchForm_tbMail,Mail
View_BranchForm_tbParameters,Parameters
View_BranchForm_tbPhone,Phone
View_BranchPost_btnCreateNewInventor,Create new Inventor
View_BranchPost_btnEditCurrent,Edit current branch
View_CatalogForm_BarcodeOriginal,Barcode Original
View_CatalogForm_columnBalanceQuantityERP,BalanceQuantityERP
View_CatalogForm_columnBalanceQuantityPartialERP,Balance Quantity Partial ERP
View_CatalogForm_columnBarcode,Barcode
View_CatalogForm_columnCountInParentPack,Count in Parent Pack
View_CatalogForm_columnFamily,Family
View_CatalogForm_columnFamilyCode,Family Code
View_CatalogForm_columnInputTypeCode,Input Type Code
View_CatalogForm_columnIturCodeExpected,Itur Code Expected
View_CatalogForm_columnMakat,Makat
View_CatalogForm_columnMakatOriginal,Makat original
View_CatalogForm_columnModifyDate,ModifyDate
View_CatalogForm_columnName,Name
View_CatalogForm_columnParentMakat,Parent Makat
View_CatalogForm_columnPriceBuy,Price Buy
View_CatalogForm_columnPriceExtra,Price Extra
View_CatalogForm_columnPriceSale,Price Sale
View_CatalogForm_columnPropertyCode,Code
View_CatalogForm_columnPropertyName,Name
View_CatalogForm_columnPropertyValue,Value
View_CatalogForm_columnSectionCode,Section Code
View_CatalogForm_columnSupplierCode,Supplier Code
View_CatalogForm_columnTag,Tag
View_CatalogForm_columnTypeCode,Type Code
View_CatalogForm_columnUnitTypeCode,Unit Type
View_CatalogForm_tblSearch,Search
View_CatalogInfoForCBI_tbEditMask,Mask
View_CatalogInfoForCBIPath_tbUpdate,ERP Balance
View_CBIObjectProperties_tbCode,Code:
View_CBIObjectProperties_tbCopyToClipboard,Copy to Clipboard
View_CBIObjectProperties_tbCreateDate,Create date:
View_CBIObjectProperties_tbDatabasePath,Database path:
View_CBIObjectProperties_tbExportToPdaPath,Export to PDA path:
View_CBIObjectProperties_tbImportPath,Import path:
View_CBIObjectProperties_tbInventorDate,Inventor date:
View_CBIObjectProperties_tbInventorStatus,Inventor status:
View_CBIObjectProperties_tbOpenInExplorer,Open in explorer
View_CommonImportExport_chkWriteToLog,Also write Log to File
View_CommonInventProduct_chkOnlyWithError,Only item with error
View_CommonInventProduct_columnAccept1,Accept1
View_CommonInventProduct_columnAccept2,Accept2
View_CommonInventProduct_columnAcceptQuantity,AcceptQuantity
View_CommonInventProduct_columnCreateDate,Create Date
View_CommonInventProduct_columnDocument,Document
View_CommonInventProduct_columnERPIturCode,ERPIturCode
View_CommonInventProduct_columnInputType,Input Type
View_CommonInventProduct_columnIturCode,Itur Code
View_CommonInventProduct_columnMakat,Makat
View_CommonInventProduct_columnMark,Mark
View_CommonInventProduct_columnNum,Num
View_CommonInventProduct_columnOriginalCode,Code input from PDA
View_CommonInventProduct_columnPhoto,Photo
View_CommonInventProduct_columnProductName,Product Name
View_CommonInventProduct_columnQuantityEdit,QuantityEdit
View_CommonInventProduct_columnResultQuantityEdit,Result Quantity
View_CommonInventProduct_columnSerialNumber,Serial Number
View_CommonInventProduct_columnStatusBit,Status bit
View_CommonInventProduct_SerialNumber,Serial Number
View_CommonInventProduct_SupplierCode,Supplier Code
View_ConfigAdapterSetting_tbConfig,Config
View_ConfigAdapterSetting_tbConfigPath,Config Path
View_ConfigAdapterSetting_tbExportErpConfig,Export ERP Config
View_ConfigAdapterSetting_tbExportERPLog,Export ERP Log
View_ConfigAdapterSetting_tbExportPdaConfig,Export PDA Config
View_ConfigAdapterSetting_tbExportPDALog,Export PDA Log
View_ConfigAdapterSetting_tbImportConfig,Import Config
View_ConfigAdapterSetting_tbImportLog,Import Log
View_ConfigAdapterSetting_tbIni,Ini
View_ConfigAdapterSetting_tbIniPath,Ini Path
View_ConfigAdapterSetting_tbLog,Log
View_ConfigAdapterSetting_tbPath,Path
View_ConfigAdapterSetting_tbSendToOfficeIni,Ini
View_ConfigAdapterSetting_tbZipPath,Zip Path
View_ConfigEditAndSave_radioInDataPath,Object Path
View_ConfigurationSetAdd,Name
View_CustomerAdd_chkAddOtherOnSave,Add other Bustomer on save
View_CustomerAdd_chkClearFieldsOnSave,Clear Fields on save
View_CustomerAdd_tbCreateNewCustomer,Create new Customer
View_CustomerAdd_tiExportAdapters,Export adapters
View_CustomerAdd_tiGeneral,General
View_CustomerAdd_tiImportAdapters,Import Adapters
View_CustomerChoose_btnCreateNew,Create new Customer
View_CustomerChoose_btnNext,Next > select branch
View_CustomerChoose_btnOpenDashboard,Open customer dashboard
View_CustomerChoose_columnAddress,Address
View_CustomerChoose_columnContactPerson,Contact Person
View_CustomerChoose_columnDescription,Description
View_CustomerChoose_columnFax,Fax
View_CustomerChoose_columnLogo,Logo
View_CustomerChoose_columnMail,Mail
View_CustomerChoose_columnName,Name
View_CustomerChoose_columnPhone,Phone
View_CustomerChoose_tbBy,by
View_CustomerChoose_tbCustomer,Customer
View_CustomerCommon_tbAdditional,Additional
View_CustomerCommon_tbAutoResult,Send to Office
View_CustomerCommon_tbEditorTemplates,Editor Templates
View_CustomerCommon_tbErpExport,Export ERP adapter
View_CustomerCommon_tbGeneral,General
View_CustomerCommon_tbImportAdapters,Import Adapters
View_CustomerCommon_tbPdaExport,Export PDA adapter
View_CustomerCommon_tbUpdateAdapter,Update Adapter
View_CustomerCommon_tbUpdateAdapters,Update adapters
View_CustomerEdit_tiExportAdapters,Export adapters
View_CustomerEdit_tiImportAdapters,Import Adapters
View_CustomerForm_btnGenerateNew,Generate new
View_CustomerForm_tbAddress,Address
View_CustomerForm_tbCode,Code
View_CustomerForm_tbContact,Contact
View_CustomerForm_tbContactPerson,Contact Person
View_CustomerForm_tbContinuationAddress,Continuation Address
View_CustomerForm_tbCustomerName,Customer Name
View_CustomerForm_tbDescription,Description
View_CustomerForm_tbFAX,FAX
View_CustomerForm_tbLogo,Logo
View_CustomerForm_tbMail,Mail
View_CustomerForm_tbParameters,Parameters
View_CustomerForm_tbPhone,Phone
View_CustomerPost_btnCreateNewBranch,Create new Branch
View_CustomerPost_tbWhatYouWantNow,What do you want now?
View_DeviceAddEdit_tbAdditionTime,Addition Time
View_DeviceAddEdit_tbAdditionTimeFormat,Format [dd:hh:mm]
View_DeviceListDetails_columnPeriodAddtionTime,Addtion Time
View_DeviceListDetails_columnPeriodStartEnd,Period (Begin - End)
View_DeviceListDetails_columnSumPeriod,Sum of Time
View_DocumentHeaderAddEdit_chkApprove,Approve
View_DocumentHeaderAddEdit_tbDeleteSourceInventPtoduct,Remove all InventProducts in Current Document
View_DocumentHeaderAddEdit_tbDocumentCode,Document code
View_DocumentHeaderAddEdit_tbERPIturCode,ERP Itur Code
View_DocumentHeaderAddEdit_tbFrom,From
View_DocumentHeaderAddEdit_tbIturCode,Itur Code
View_DocumentHeaderAddEdit_tbName,Name
View_DocumentHeaderAddEdit_tbTo,To
View_DocumentHeaderAddEdit_tbWorkerGuid,WorkerGUID
View_DocumentHeaderAddEdit_tbWorkerId,Worker Id
View_DocumentHeaderAddEdit_tbWorkerName,Worker Name
View_DocumrntHeaderListDetails_columnEmployeeId,Employee Id
View_DocumrntHeaderListDetails_columnEmployeeName,Employee Name
View_DocumrntHeaderListDetails_columnEndInventorDateTime,End Inventor
View_DocumrntHeaderListDetails_columnPeriodPeriodFromFirstToLast,Period (Frist-Last)
View_DocumrntHeaderListDetails_columnStartInventorDateTime,Begin Inventor
View_DocumrntHeaderListDetails_columnTheFirst,The First
View_DocumrntHeaderListDetails_columnTheLast,The Last
View_DownloadFromPda_btnDownload,Download
View_DownloadFromPda_btnStop,Stop
View_DynamicColumnSettings_tbInventProduct,Grid - Total InventProduct list view
View_DynamicColumnSettings_tbInventProductListView,Document - InventProduct list view
View_DynamicColumnSettings_tbPriceType,Price Type
View_DynamicColumnSettings_tbStaticPath,Import Catalog Path
View_DynamicColumnSettings_tbStaticPath2,Export to Erp Path
View_DynamicColumnSettings_tbStaticPath3,Send to Office Path
View_ExportErp_radioMakat,Makat
View_ExportErp_radioMakatOriginal,Makat Original
View_ExportErpSettings_tbDefaultAdapter,ERP
View_ExportErpWithModules_btnDefault,Set as Default
View_ExportErpwithModules_busyContent,Exporting...
View_ExportErpWithModules_chkExcludeNotExistingInCatalog,Exclude Items with Makat not existing in Catalog
View_ExportErpWithModules_chkFull,Full
View_ExportErpWithModules_chkItur,Itur
View_ExportErpWithModules_grpInclude,Include
View_ExportErpwithModules_tbExportAdapter,Export ERP adapter
View_ExportErpwithModules_tbExportProgress,Export progress:
View_ExportErpWithModules_tbNumbers,Numbers
View_ExportErpWithModules_tbPrefix,Prefix
View_ExportLog_btnApply,Apply
View_ExportLog_btnBrowse,Browse
View_ExportLog_btnOpen,Open
View_ExportLog_btnReload,Reload
View_ExportLog_tbExportPath,Export path:
View_ExportPdaAdapter_expCommon,Common
View_ExportPdaExtraSettings_chkAutoPrint,Auto print
View_ExportPdaExtraSettings_tbReportTemplates,Report Templates:
View_ExportPdaProgramType_expProgramType,PDA Program Type
View_ExportPdaProgramType_tbMaintenanceType,Maintenance Type
View_ExportPdaProgramType_tbPdaType,PDA Type
View_ExportPdaProgramType_tbProgramType,Program Type
View_ExportPdaSettings_grpExportToErp,Export to ERP
View_ExportPdaSettings_grpExportToPda,Export to PDA
View_ExportPdaSettings_grpExtraSettings,Extra settings
View_ExportPdaSettings_radioMakat,Makat
View_ExportPdaSettings_radioMakatOriginal,Makat original
View_ExportPdaSettings_tbDefaultAdapter,Default Adapter
View_ExportPdaSettings_tbDefaultAdapter1,Default adapter:
View_ExportPdaSettings_tbDescription,Description
View_ExportPdaSettingsControl_chkAddBinarySearch,Add Binary Search
View_ExportPdaSettingsControl_chkInvertPrefix,Invert Prefix
View_ExportPdaSettingsControl_expConfig,Config
View_ExportPdaSettingsControl_expItur,Itur
View_ExportPdaSettingsControl_expLookup,Lookup
View_ExportPdaSettingsControl_tbAddExtraInputBatch,Show Extra Input Value Batch List
View_ExportPdaSettingsControl_tbAddExtraInputValue,Add Extra Input Value
View_ExportPdaSettingsControl_tbAddExtraInputValueHeaderName,Add Extra Input Value Header
View_ExportPdaSettingsControl_tbAddNewLocation,Add New Location
View_ExportPdaSettingsControl_tbAllowMinusQuantity,Allow Minus Quantity
View_ExportPdaSettingsControl_tbAllowNewBatch,Allow New Value from Batch List
View_ExportPdaSettingsControl_tbAllowQuantityFraction,Allow Quantity Fraction
View_ExportPdaSettingsControl_tbAllowZeroQuantity,Allow Zero Quantity
View_ExportPdaSettingsControl_tbAutoSendData,Send automatic from PDA
View_ExportPdaSettingsControl_tbByERPCode,By ERP Code
View_ExportPdaSettingsControl_tbByName,By Name
View_ExportPdaSettingsControl_tbClientId,Client id
View_ExportPdaSettingsControl_tbConfirmNewItem,Confirm Add new Item
View_ExportPdaSettingsControl_tbConfirmNewLocation,Confirm Add new Location
View_ExportPdaSettingsControl_tbDefaultHost,Default Host
View_ExportPdaSettingsControl_tbFileType,File type
View_ExportPdaSettingsControl_tbFractionCalculate,Calculate Fraction
View_ExportPdaSettingsControl_tbHash,Hash
View_ExportPdaSettingsControl_tbHTcalculateLookUp,HT Calculate LookUp
View_ExportPdaSettingsControl_tbIturNamePrefix,Itur Name Prefix
View_ExportPdaSettingsControl_tbIturNameType,Itur Name Type
View_ExportPdaSettingsControl_tbLastSync,Last Sync
View_ExportPdaSettingsControl_tbLookUpEXE,LookUp Path
View_ExportPdaSettingsControl_tbMaxCharacters,Max Characters For Name
View_ExportPdaSettingsControl_tbMaxQuantity,Max Quantity
View_ExportPdaSettingsControl_tbNewItem,New item
View_ExportPdaSettingsControl_tbPartialHost1,Host1
View_ExportPdaSettingsControl_tbPartialHost2,Host2
View_ExportPdaSettingsControl_tbPartialQuantity,Partial Quantity
View_ExportPdaSettingsControl_tbPassword,Password
View_ExportPdaSettingsControl_tbQType,Q type
View_ExportPdaSettingsControl_tbRetry,Retry
View_ExportPdaSettingsControl_tbSameBarcodeInLocation,Same Barcode In Location
View_ExportPdaSettingsControl_tbSearchDef,Search Def
View_ExportPdaSettingsControl_tbSearchIfExistBatch,Search If Exist in Batch List
View_ExportPdaSettingsControl_tbTimeout,Timeout
View_ExportPdaSettingsControl_tbUseAlphaKey,Use alpha key
View_ExportPdaWithModules_busyContent,Exporting...
View_ExportPdaWithModules_chkBarcodeWithoutMask,Barcode without Mask
View_ExportPdaWithModules_chkMakatWithoutMask,Makat without mask
View_ExportPdaWithModules_chkOptionsHT630_BaudratePDA,Check Baudrate PDA
View_ExportPdaWithModules_chkWithoutProductName,Without product name
View_ExportPdaWithModules_tbExportAdapter,Export  PDA adapter
View_ExportPdaWithModules_tbExportProgress,Export progress:
View_ExportPdaWithModules_tpDelete,Delete all export files
View_FamilyAddEdit_CodeExist,Family with such code already exists
View_FamilyAddEditDelete_columnCode,Code
View_FamilyAddEditDelete_columnDescription,Description
View_FamilyAddEditDelete_columnExtra1,Extra1
View_FamilyAddEditDelete_columnExtra2,Extra2
View_FamilyAddEditDelete_columnName,Name
View_FamilyAddEditDelete_columnSize,Size
View_FamilyAddEditDelete_columnType,Type
View_FilterSet_tbTemplate,Template
View_FilterTemplateAddEdit_tbDisplayName,Display Name
View_FilterTemplateAddEdit_tbFileName,File Name
View_FromFtp_tbBackupFolder,Backup Folders
View_FromFtp_tbSortBy,Sort By
View_FromFtpPda_chkBackupFolder,backup
View_FromFtpPda_chkCopyPhoto,Copy Photo
View_FromFtpPda_chkCopySignature,Copy Signature
View_FromPdaDashboardPart_columnDate,Date
View_FromPdaDashboardPart_columnDocumentsCount,Documents Count
View_FromPdaDashboardPart_columnItemsCount,Records Count
